,נפגעים - הרוגים,נפגעים - קשה,נפגעים - קל,תאונות - כללי - קטלניות,תאונות - כללי - קשות,תאונות - כללי - קלות,תאונות - הולכי רגל - נפגעים - הרוגים,תאונות - הולכי רגל - נפגעים - קשה,תאונות - הולכי רגל - נפגעים - קל,תאונות - הולכי רגל - תאונות - קטלניות,תאונות - הולכי רגל - תאונות - קשות,תאונות - הולכי רגל - תאונות - קלות,תאונות - דו גלגלי - נפגעים - הרוגים,תאונות - דו גלגלי - נפגעים - קשה,תאונות - דו גלגלי - נפגעים - קל,תאונות - דו גלגלי - תאונות - קטלניות,תאונות - דו גלגלי - תאונות - קשות,תאונות - דו גלגלי - תאונות - קלות,תאונות - משאית - נפגעים - קשה,תאונות - משאית - נפגעים - קל,תאונות - משאית - תאונות - קשות,תאונות - משאית - נפגעים - הרוגים,תאונות - משאית - תאונות - קטלניות
3933,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4622,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6524,1,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0
8993,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,2,84,0,2,31,0,0,0,0,0,0,0,0,1,0,0,1,1,9,1,0,0
9,0,4,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,0,1,51,0,1,16,0,0,0,0,0,0,0,0,1,0,0,1,1,8,1,0,0
35,0,1,51,0,1,16,0,0,0,0,0,0,0,0,1,0,0,1,1,8,1,0,0
66,0,1,26,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,0,4,74,0,3,31,0,0,0,0,0,0,0,1,12,0,1,6,0,9,0,0,0
87,0,3,46,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,0,8,29,0,6,6,0,0,0,0,0,0,0,1,1,0,1,1,0,4,0,0,0
222,0,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,8,42,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
293,0,1,28,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
325,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,4,8,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
356,0,2,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,0,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,0,4,30,0,4,11,0,1,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0
425,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,0,7,93,0,4,46,0,0,1,0,0,1,0,1,4,0,1,4,0,6,0,0,0
450,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,0,1,9,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
466,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,0,4,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
